image_name,count,img_size
taccsciapps/jupyter-sd2e-base:latest,3450,4145682091
tacc/tacc-ml:ppc64le-centos7-cuda11-tf2.7-pt1.10,3444,9592246589
gzynda/tacc-centos7-mvapich2.3-psm2:0.0.2,3438,633601171
tacc/tacc-centos7-mvapich2.3-psm2:0.0.2,3438,633601171
gzynda/tacc-centos7-mvapich2.3-psm2:latest,3438,633601171
tacc/tacc-centos7-mvapich2.3-psm2:0.0.3,3434,774466636
gzynda/tacc-centos7-mvapich2.3-ib:latest,3432,639708002
gzynda/tacc-centos7-mvapich2.3:0.0.2,3432,611580378
gzynda/tacc-centos7-mvapich2.3:hikari,3432,611580378
gzynda/tacc-centos7-mvapich2.3:wrangler,3432,611580378
tacc/tacc-centos7-mvapich2.3-ib:0.0.2,3432,639708002
gzynda/tacc-centos7-mvapich2.3-ib:0.0.2,3432,639708002
gzynda/tacc-centos7-mvapich2.3:maverick2,3432,611580378
gzynda/tacc-centos7-mvapich2.3:latest,3432,611580378
tacc/tacc-centos7-mvapich2.3-ib:0.0.3,3428,774779755
taccsciapps/jupyteruser-nn:0.1.0,3427,4254840064
taccsciapps/jupyteruser-nn:latest,3427,4253152231
tacc/apidocs-api:2.2.24,3424,78022824
tacc/apidocs-api:2.4.3,3424,78022810
tacc/logging-api:2.2.19,3424,76820111
tacc/postits-api:2.4.4,3424,76881612
tacc/stats-api:2.2.14,3424,172374537
tacc/tenants-api:2.4.5,3424,77361879
tacc/tenants-api:2.4.6,3424,77361879
tacc/tenants-api:2.4.7,3424,77361879
tacc/usage-api:2.2.21,3424,79201399
tacc/usage-api:2.2.23,3424,79201349
tacc/apidocs-api:2.4.0,3424,78022810
tacc/apidocs-api:2.4.1,3424,78022810
tacc/logging-api:2.2.20,3424,76820111
tacc/postits-api:2.4.2,3424,76881381
tacc/postits-api:2.4.5-dev,3424,76881612
tacc/tenants-api:2.4.8,3424,77361879
tacc/tenants-api:2.4.9,3424,77361879
tacc/usage-api:2.2.19,3424,79201399
tacc/usage-api:2.2.22,3424,79201349
taccaci/xsede-system-status-check-api:latest,3424,91619135
tacc/apidocs-api:2.4.2,3424,78022810
tacc/logging-api:2.2.21,3424,76820111
tacc/logging-api:2.2.22,3424,76820111
tacc/logging-api:2.2.23,3424,76820111
tacc/postits-api:2.4.1,3424,76881381
tacc/stats-api:2.2.12,3424,241497287
tacc/stats-api:2.2.17,3424,228204474
tacc/stats-api:2.2.18,3424,230143619
tacc/stats-api:2.2.19,3424,231723787
tacc/usage-api:2.2.20,3424,79201399
taccwma/protx-portal:33a8e9c,3410,2040486842
tacc/profiles-api:1.5.0,3406,692094202
tacc/profiles-api:1.5.0-rc1,3406,692094202
sd2e/tacc-ml-jupyter:centos7-cuda10-tf2.2-pt1.7,3399,7191298477
tacc/deployer:0.1.0,3396,602822785
tacc/deployer:dev,3396,602959274
tacc/deployer:latest,3396,602822785
tacc/deployer:0.1-rc1,3396,602822796
gzynda/tacc-centos7-impi2019:0.0.2,3387,1115196534
gzynda/tacc-centos7-impi2019:stampede2,3387,1115196534
gzynda/tacc-centos7-ompi4.0.2:hikari,3387,566773023
gzynda/tacc-centos7-impi2018:0.0.2,3387,1115196765
gzynda/tacc-centos7-impi2019:latest,3387,1115196534
gzynda/tacc-centos7-ompi4.0.2:maverick2,3387,566773023
gzynda/tacc-centos7-ompi4.0.2:wrangler,3387,566773023
gzynda/tacc-centos7:0.0.2,3387,524438574
gzynda/tacc-centos7-impi2018:latest,3387,1115196765
gzynda/tacc-centos7-impi2018:stampede2,3387,1115196765
gzynda/tacc-centos7-ompi4.0.2:0.0.2,3387,566773023
gzynda/tacc-centos7-ompi4.0.2:latest,3387,566773023
gzynda/tacc-centos7:latest,3387,524438574
tacc/tacc-centos7:0.0.2,3387,524438574
tacc/tacc-centos7:0.0.3,3383,546901579
sxscollaboration/specbuildenvtacc:latest,3377,1397746300
taccwma/sciviscolor-cms:latest,3369,1441847374
tacc/apim-test:latest,3368,600637962
tacc/apim_httpd:rc-1,3368,600638345
tacc/apim_httpd:rc-2,3368,600638346
tacc/auth-proxy:1.5.0,3359,602258906
tacc/auth-proxy:1.5.0-rc1,3359,602258906
docamp10/tacc-docampo:latest,3351,17922044337
enho/tacc-ml:centos7-cuda10-tf2.1-pt1.3,3351,6597628540
tacc/gateways19-classifier:latest,3338,1264760431
tacc/pearc19-classifier:latest,3333,1264760431
taccsciapps/abaco_classifier:latest,3333,1264778151
taccsciapps/classify_image:latest,3333,1264760431
taccaci/designsafe-qgis-duvd:3.16.3,3320,2190196309
taccaci/designsafe-qgis-duvd:3.16.3-alpha,3320,2190196316
tacc/tacc-centos7-ppc64le-mvapich2.3-ib:0.0.5,3312,873930016
tacc/tacc-centos7-ppc64le-mvapich2.3-ib:latest,3312,873930016
tacc/tacc-centos7-ppc64le:0.0.5,3276,637188063
tacc/tacc-centos7-ppc64le:latest,3276,637188063
tacc/auth-lb:1.0.0,3263,566874894
tacc/auth-lb:dev,3263,566874894
tacc/auth-lb:latest,3263,566874850
tacc/template-compiler:latest,3252,563781501
tacc/template-compiler:1.5.0,3252,563781501
tacc/template-compiler:dev,3252,563781501
tacc/auth-proxy:latest,3237,609014895
tacc/auth-proxy:1.6.0,3237,609014895
tacc/auth-proxy:dev,3237,609014895
kdavid2/tacc-pytorch-0.4.1:v2,3231,5280932874
taccsciapps/jupyteruser-hetdex:1.25,3230,3196626645
kdavid2/tacc-pytorch-0.4.1:v1,3227,5271324240
tacc/tacc-centos7-impi18.0.2-psm2:0.0.4,3198,1233120358
tacc/tacc-centos7-impi18.0.2-psm2:latest,3198,1233120358
tacc/tacc-centos7-mvapich2.3-psm2:0.0.4,3198,737931125
wangyinz/tacc-containers:tacc-centos7-impi19.0.7-common,3196,1935410471
tacc/tacc-centos7-impi19.0.7-common:0.0.4,3196,1934593488
tacc/tacc-centos7-mvapich2.3-ib:0.0.4,3192,744351325
tacc/tacc-centos7-impi19.0.5-ib:latest,3190,1625968076
tacc/tacc-centos7-impi19.0.5-ib:0.0.4,3190,1625968076
asun88/tacc-centos7-impi19.0.7-common:latest,3159,27770234937
taccsciapps/jupyteruser-hetdex:1.26,3157,3058201525
taccsciapps/jupyteruser-hetdex:1.24,3157,2758770710
taccsciapps/jupyteruser-hetdex:1.28,3156,3058201525
taccsciapps/jupyteruser-latex:0.1,3156,4487858008
taccsciapps/jupyteruser-hetdex:1.27,3156,3058201525
tacc/tacc-centos7:0.0.4,3153,515797332
tacc/tacc-ml:centos7-cuda11-tf2.6-pt1.10,3099,9124583658
taccsciapps/jupyteruser-adcirc:0.1,3075,4522664468
taccsciapps/ipt-actor:0.1,3074,507426429
taccsciapps/ipt-actor:dev,3074,507426429
taccsciapps/ipt-actor:latest,3074,507419131
taccsciapps/ipt-actor:0.2,3074,507426385
taccsciapps/jupyteruser-sim:1.3,3072,4522664468
taccsciapps/jupyteruser-sim:1.2,3070,4408761200
tacc/python2-reactor:0.2.2,3068,497774834
tacc/python2-reactor:0.5.0,3068,497774834
taccsciapps/resource-tracking:latest,3045,725387092
taccsciapps/jupyteruser-tc:0.0.4,3033,7137035105
taccsciapps/jupyteruser-tc:0.0.2,3032,7136937538
taccsciapps/jupyteruser-tc:0.0.3,3032,7136951331
taccwma/epoc-cms:latest,3025,1443280377
tacc/slapd:latest,3011,359482809
taccsciapps/jupyeruser-base:slim,3011,5093038504
tacc/slapd:1,3011,359482809
asedhain/tacc-maverick:1.0,3007,5515229155
asedhain/tacc-maverick:1.2,3006,5504818262
asedhain/tacc-maverick:1.1,3006,5504817810
yakuo0602/tacc_ubuntu_champ:v1,2996,1559064256
yakuo0602/tacc_ubuntu_champ:version1,2996,1559064256
taccaci/namd:2.14,2993,2708978488
gzynda/tacc-maverick-cuda8:0.0.1,2992,2228134780
gzynda/tacc-maverick-cuda8:latest,2992,2228134780
tacc/tacc-centos7-mvapich2.3-psm2:latest,2992,773272343
tacc/tacc-centos7-mvapich2.3-psm2:0.0.5,2992,773272343
uvilla/tacc:v1.2,2992,1712344554
uvilla/tacc:v1.0,2992,2841707631
uvilla/tacc:v1.1,2992,1712344554
asun88/tacc-centos7-impi19.0.7-common:0819,2990,5072752154
asun88/tacc-centos7-impi19.0.7-common:0820,2990,3179599225
tacc/tacc-centos7-impi19.0.7-common:latest,2990,1970944888
tacc/tacc-centos7-impi19.0.7-common:0.0.5,2990,1970944888
gzynda/tacc-maverick-ml:0.0.2,2986,4969087111
tacc/tacc-centos7-mvapich2.3-ib:0.0.5,2986,779708063
tacc/tacc-centos7-mvapich2.3-ib:latest,2986,779708063
taccsciapps/praxisai-base:0.1.1,2982,10357028306
taccsciapps/jupyteruser-base:0.1.10,2978,5059460296
taccsciapps/jupyteruser-base:0.1.11,2978,5097693734
taccsciapps/jupyteruser-base:0.1.9,2974,4946381751
tacc/dumbbot:v1,2961,1749727969
tacc/postits-api:2.4.3,2959,76881381
tacc/tacc-centos7:0.0.5,2950,549322884
tacc/tacc-centos7:latest,2950,549322884
tacc/email-actor:1.0,2895,925915332
tacc/hello-world:1.0,2895,925914545
tacc/slackbot-actor:1.0,2895,926625005
yakuo0602/tacc_ubuntu_champ:version3,2886,1683416612
tacc/keys-api:1.0.4,2818,976369488
clos21/taccjm:0.0.0,2809,1051537351
clos21/taccjm:0.0.1,2809,1051537618
tacc/tapisv3-cli:1.1.0,2808,948683256
