image_name,count,img_size
hpccsystems/platform-build-base-ubuntu-18.04:6b78bd1f,925,3799777356
hpccsystems/platform-build-base-ubuntu-18.04:e01b1f57,925,3789490280
hpccsystems/platform-build-base-ubuntu-18.04:hpcc-platform-8.12.x,925,3799777356
hpccsystems/platform-build-base-ubuntu-18.04:hpcc-platform-9.0.x,925,3789490280
mrdwyer/hpc:ubuntu16ofed43ompi212,901,1064787875
hpcyttom/ubuntu-source-memcached:mitaka,897,323973498
ompcluster/hpcbase-dev:improve_cmake-3-22-ubuntu20.04-cuda11.2-openmpi,897,7039089825
ompcluster/hpcbase-dev:improve_cmake-3-22-ubuntu20.04-cuda11.2-mpich-legacy,881,6969283168
ompcluster/hpcbase-dev:improve_cmake-3-22-ubuntu20.04-cuda11.2-openmpi-legacy,881,6962249696
hpccsystems/platform-build-base-centos-8:5ded2462,877,3872715712
hpccsystems/platform-build-base-centos-8:hpcc-platform-9.2.x,877,3872715712
nckucch/ubuntubase:10.0-u,874,3080160758
hpccbuilds/build-ubuntu-20.04:community_8.12.0-rc4,847,4119943829
hpccbuilds/build-ubuntu-20.04:community_8.12.0-test-rc125,847,4119947139
hpccbuilds/build-ubuntu-20.04:community_8.12.0-test-rc126,847,4119947139
hpccbuilds/build-ubuntu-20.04:community_8.12.0-test-rc127,847,4119947139
hpccbuilds/build-ubuntu-20.04:latest,847,4119943829
noaagfdl/hpc-me.ubuntu-minimal:coupler,801,1433507888
ryanmulhall/hpc-me.ubuntu-minimal:coupler,801,1433507888
hpchub66/centos:v1,800,237069542
hpccbuilds/vcpkg-ubuntu-22.04:dfadc914,799,1113011677
hpccbuilds/vcpkg-ubuntu-22.04:fe903b58,799,3011735813
noaagfdl/hpc-me.ubuntu-minimal:cmake,799,1372154226
hpccbuilds/vcpkg-ubuntu-22.04:348818ae,795,3011942577
hpccbuilds/vcpkg-ubuntu-22.04:8.12-rc2,795,3011942577
hpccbuilds/vcpkg-ubuntu-22.04:latest,795,3011942577
hpccbuilds/vcpkg-ubuntu-20.04:dfadc914,728,1123649039
hpccbuilds/vcpkg-ubuntu-20.04:fe903b58,728,3397076561
petrerw/ubuntu-hpcc:latest,716,210171272
ompcluster/hpcbase-dev:improve_cmake-3-22-ubuntu18.04-cuda10.1-mpich-legacy,707,5706292463
ryanmulhall/hpc-me.ubuntu20.04:intel2021.05,703,16578373660
hpccbuilds/vcpkg-ubuntu-20.04:348818ae,688,3397294105
hpccbuilds/vcpkg-ubuntu-20.04:8.12-rc2,688,3397294105
hpccbuilds/vcpkg-ubuntu-20.04:latest,688,3397294105
intel/hpckit:2024.0.0-devel-rockylinux9,687,16242690776
intel/hpckit:2024.0.1-devel-rockylinux9,678,16146228628
intel/oneapi-hpckit:2024.0.1-devel-rockylinux9,678,16146228628
hpccbuilds/build-amazonlinux:community_8.12.0-rc4,676,4908087314
hpccbuilds/build-amazonlinux:community_8.12.0-test-rc125,676,4908076050
hpccbuilds/build-amazonlinux:community_8.12.0-test-rc126,676,4908076050
hpccbuilds/build-amazonlinux:community_8.12.0-test-rc127,676,4908076050
hpccbuilds/build-amazonlinux:latest,676,4908087314
ryanmulhall/hpc-me.ubuntu-minimal:latest,666,4185558438
noaagfdl/hpc-me.ubuntu-minimal:gnu-input,661,4193990951
noaagfdl/hpc-me.ubuntu-minimal:latest,661,4193990951
ryanmulhall/hpc-me.ubuntu-minimal:gnu-input,661,4193990951
hpcyttom/ubuntu-source-mariadb:mitaka,650,439567169
hpccsystems/platform-build-ubuntu-22.04:candidate-9.2.x,630,3686584154
shellyyadav18/hpcrubuntuimage:latest,623,1168807811
sc18co/myubuntu:666,593,3870152550
hpccbuilds/vcpkg-amazonlinux:348818ae,585,4278920054
hpccbuilds/vcpkg-amazonlinux:8.12-rc2,585,4278920054
hpccbuilds/vcpkg-amazonlinux:dfadc914,585,2179514068
hpccbuilds/vcpkg-amazonlinux:fe903b58,585,4278944583
hpccbuilds/vcpkg-amazonlinux:latest,585,4278920054
ompcluster/hpcbase-dev:improve_cmake-3-22-ubuntu18.04-cuda10.2-mpich34,570,5897998169
hpccbuilds/build-ubuntu-22.10:community_8.12.0-rc4,559,3654680850
hpccbuilds/build-ubuntu-22.10:community_8.12.0-test-rc122,559,3654716455
hpccbuilds/build-ubuntu-22.10:community_8.12.0-test-rc125,559,3654716452
hpccbuilds/build-ubuntu-22.10:community_8.12.0-test-rc126,559,3654716452
hpccbuilds/build-ubuntu-22.10:latest,559,3654680850
hpccsystems/platform-build-ubuntu-20.04:candidate-9.2.x,532,4078450928
hpccsystems/platform-build-ubuntu-22.04:19a480bb,510,6942753837
ericvh/arm64-ubuntu-hpc:utopic,509,1022275559
intel/oneapi-hpckit:2023.2.1-devel-ubuntu22.04,507,17633117653
hpccbuilds/vcpkg-ubuntu-22.10:348818ae,487,3051411748
hpccbuilds/vcpkg-ubuntu-22.10:8.12-rc2,487,3051411748
hpccbuilds/vcpkg-ubuntu-22.10:dfadc914,487,1150983366
hpccbuilds/vcpkg-ubuntu-22.10:fe903b58,487,3051407917
hpccbuilds/vcpkg-ubuntu-22.10:latest,487,3051411748
grayphd/hpc-ubuntu-tau:latest,483,7472729858
grayphd/hpc-ubuntu-papi:latest,445,1260511224
hpccsystems/platform-build-amazonlinux:candidate-9.2.x,445,5753842930
hpccsystems/platform-build-ubuntu-20.04:19a480bb,445,7386210875
grayphd/hpc-ubuntu-hpctk:latest,436,
niina27/ubuntu-linpack:rc0.2,423,1587594642
niina27/ubuntu-linpack:rc0.4,423,1593707545
niina27/ubuntu-linpack:rc0.5,420,1592761085
niina27/ubuntu-linpack:rc0.1,418,1531913621
ompcluster/hpcbase:ubuntu20.04-cuda11.2-mpich-ofed5,411,7742355560
ompcluster/hpcbase:ubuntu20.04-cuda11.2-openmpi,411,7669674089
ompcluster/hpcbase:ubuntu20.04-cuda11.2-mpich-legacy,395,7609936411
ompcluster/hpcbase:ubuntu20.04-cuda11.2-openmpi-legacy,395,7602914685
crazyrabbit12/hpc-vnc-serivce:vncServer1.12.0_with_Xface_Ubuntu_userless,380,1483402073
hpccsystems/platform-build-ubuntu-23.04:19a480bb,370,7046448229
hpccsystems/platform-build-base-ubuntu-22.04:2581536d,367,3729566139
hpccsystems/platform-build-base-ubuntu-22.04:hpcc-platform-8.12.x,367,3729566139
scorep/devel-nvhpc:latest-ubuntu22.04,361,14166740102
hpccsystems/platform-build-base-ubuntu-22.04:hpcc-platform-9.2.x,338,3063471277
hpccsystems/platform-build-base-ubuntu-20.04:2581536d,336,4061031944
hpccsystems/platform-build-base-ubuntu-20.04:e0042a2e,336,9284315676
hpccsystems/platform-build-base-ubuntu-20.04:hpcc-platform-8.12.x,336,4061031944
hpccsystems/platform-build-base-ubuntu-20.04:hpcc-platform-9.4.x,336,9284315676
hpccsystems/platform-build-ubuntu-23.04:candidate-9.4.x,332,7042387015
scorep/devel-oneapi:latest-ubuntu22.04,330,7548792615
intel/hpckit:2024.0.1-devel-ubuntu22.04,311,15993197498
intel/oneapi-hpckit:2024.0.1-devel-ubuntu22.04,311,15993197498
hpccsystems/platform-build-base-ubuntu-20.04:hpcc-platform-9.2.x,307,3499930243
hpccsystems/platform-build-base-ubuntu-22.04:e0042a2e,300,8756910099
hpccsystems/platform-build-base-ubuntu-22.04:hpcc-platform-9.4.x,300,8756910099
hpccsystems/platform-build-ubuntu-22.04:candidate-8.12.x,300,3734760780
hpccsystems/platform-build-ubuntu-22.04:candidate-9.0.x,300,3734760817
hpccsystems/platform-build-ubuntu-22.04:candidate-9.4.x,300,8756910405
scorep/devel-oneapi:8.4-2024.0.1-ubuntu22.04,298,
scorep/devel-oneapi:8.4-ubuntu22.04,298,
scorep/devel-nvhpc:8.4-23.11-ubuntu22.04,295,
scorep/devel-nvhpc:8.4-ubuntu22.04,295,
hpccsystems/platform-build-base-ubuntu-23.10:fcde93bc,288,8815316148
hpccsystems/platform-build-amazonlinux:19a480bb,286,8229728632
hpccsystems/platform-build-base-ubuntu-23.10:e0042a2e,271,8857109401
hpccsystems/platform-build-base-ubuntu-23.10:hpcc-platform-9.4.x,271,8857109401
intel/hpckit:2024.0.1-devel-ubuntu20.04,267,15707304285
intel/oneapi-hpckit:2024.0.1-devel-ubuntu20.04,267,15707304285
hpccsystems/platform-build-ubuntu-20.04:candidate-8.12.x,260,4074618613
